Word	Length	LemmaFreq	WordFreq	zipfFreq	Syllables	SyllLength
η	1	6881.6	16881.6	7.227	η	1
ή	1	2569.5	2569.5	6.41	ή	1
ο	1	8628.1	12445.5	7.095	ο	1
αμ	2	2.9	2.9	3.464	αμ	1
αν	2	2484.8	2135.1	6.329	αν	1
απ	2	715.7	715.7	5.854	απ	1
αρ	2	20.3	20.3	4.307	αρ	1
ας	2	249.9	249.9	5.397	ας	1
αχ	2	9.9	9.9	3.996	αχ	1
γα	2	1.1	1.1	3.052	γα	1
γη	2	114.5	54.9	4.739	γη	1
δα	2	8.8	8.8	3.945	δα	1
δε	2	418.6	418.6	5.621	δε	1
δη	2	9.7	9.7	3.987	δη	1
ει	2	3.7	3.7	3.57	ει	1
εκ	2	519.3	407.3	5.61	εκ	1
εν	2	493	493	5.693	εν	1
εξ	2	111.9	111.9	5.049	εξ	1
επ	2	45.1	45.1	4.654	επ	1
ευ	2	8.7	8.7	3.94	ευ	1
ζω	2	269	8.3	3.92	ζω	1
θα	2	8576.8	8576.8	6.933	θα	1
κε	2	5	5	3.7	κε	1
λα	2	19	19	4.279	λα	1
μα	2	138.8	138.8	5.142	μα	1
με	2	3731.1	13731.1	7.137	με	1
μι	2	1.5	1.5	3.185	μι	1
να	2	889.9	20884.5	7.319	να	1
νι	2	1	1	3.009	νι	1
ξι	2	0	0	1.327	ξι	1
ον	2	14.4	6.4	3.807	ον	1
ου	2	15.4	15.4	4.188	ου	1
οχ	2	3.8	3.8	3.583	οχ	1
πα	2	5	5	3.7	πα	1
πι	2	1.2	1.2	3.083	πι	1
ρε	2	26.7	26.7	4.426	ρε	1
ρο	2	0.7	0.7	2.859	ρο	1
σε	2	7925.7	7925.7	6.899	σε	1
σι	2	3.1	3.1	3.495	σι	1
στ	2	94	94	4.973	στ	1
τα	2	3.4	10003.4	7	τα	1
τη	2	7436	7436	6.871	τη	1
τι	2	1321.8	1321.8	6.121	τι	1
το	2	2664.3	22664.3	7.355	το	1
φα	2	0.5	0.5	2.725	φα	1
φι	2	0.6	0.6	2.79	φι	1
χα	2	5.2	5.2	3.717	χα	1
χι	2	1.3	1.3	3.12	χι	1
χμ	2	0.9	0.9	2.961	χμ	1
ψι	2	0.1	0.1	2.106	ψι	1
ώα	2	0	0	1.327	ώα	1
ων	2	28.9	5.2	3.717	ων	1
ως	2	1953	1953	6.29	ως	1
άγω	3	1	0	1.327	ά-γω	2
αεί	3	0.7	0.7	2.859	α-εί	2
αλά	3	1.8	1.8	3.262	α-λά	2
αλί	3	5.9	5.9	3.771	α-λί	2
αλτ	3	0.1	0.1	2.106	αλτ	1
άμα	3	22.4	22.4	4.35	ά-μα	2
αμέ	3	0.6	0.6	2.79	α-μέ	2
άμε	3	0.1	0.1	2.106	ά-με	2
ανά	3	125.3	125.3	5.098	α-νά	2
άνω	3	174.7	105.5	5.023	ά-νω	2
άου	3	0.1	0.1	2.106	ά-ου	2
από	3	3389.6	12634.3	7.101	α-πό	2
άπω	3	3.4	3.4	3.534	ά-πω	2
αρά	3	0.6	0.1	2.106	α-ρά	2
άρα	3	124.2	124.2	5.094	ά-ρα	2
άτι	3	0.5	0.4	2.628	ά-τι	2
αφή	3	2.5	1.4	3.154	α-φή	2
βατ	3	0.7	0.7	2.859	βατ	1
βαχ	3	0.1	0.1	2.106	βαχ	1
βηξ	3	0.1	0.1	2.106	βηξ	1
βια	3	0.4	0.1	2.106	βια	1
βία	3	77	34.9	4.543	βί-α	2
βοή	3	1.3	0.6	2.79	βο-ή	2
βοώ	3	1.4	0	1.327	βο-ώ	2
βρε	3	11.8	11.8	4.073	βρε	1
γαρ	3	3.5	3.5	3.548	γαρ	1
γεν	3	19.7	19.7	4.295	γεν	1
για	3	2916.3	12430.7	7.094	για	1
δεν	3	8820	8401.4	6.924	δεν	1
διά	3	96.1	83.2	4.92	δι-ά	2
δις	3	322.3	0	1.327	δις	1
δον	3	17.5	17.5	4.243	δον	1
δου	3	12.6	12.6	4.101	δου	1
δρω	3	69.4	0.1	2.106	δρω	1
δύο	3	1778.4	1541.2	6.188	δύ-ο	2
δύω	3	1.8	0	1.327	δύ-ω	2
έαρ	3	0.3	0.2	2.327	έ-αρ	2
εγώ	3	6931.6	442.5	5.646	ε-γώ	2
εδώ	3	686.6	638.1	5.805	ε-δώ	2
εις	3	128	128	5.107	εις	1
έλα	3	20	20	4.301	έ-λα	2
ενώ	3	1190.1	1190.1	6.075	ε-νώ	2
έξη	3	154.1	2.1	3.327	έ-ξη	2
έξι	3	150.9	150.9	5.178	έ-ξι	2
έξω	3	204.8	204	5.309	έ-ξω	2
επί	3	589	515.5	5.712	ε-πί	2
εύα	3	5.2	4.1	3.615	εύ-α	2
εφέ	3	6.3	6.3	3.8	ε-φέ	2
έχω	3	8779.7	293.1	5.467	έ-χω	2
έως	3	294.3	294.3	5.468	έ-ως	2
ζην	3	2.6	2.6	3.417	ζην	1
ζωή	3	538	321.3	5.507	ζω-ή	2
ζων	3	5.4	0.2	2.327	ζων	1
ζώο	3	61.8	8.3	3.92	ζώ-ο	2
ήβη	3	1.5	1	3.009	ή-βη	2
ήδη	3	502.5	502.5	5.701	ή-δη	2
ήρα	3	3.1	1.9	3.282	ή-ρα	2
ήτα	3	0.3	0.3	2.504	ή-τα	2
ηχώ	3	9.1	1.4	3.154	η-χώ	2
θεά	3	13	4.8	3.683	θε-ά	2
θέα	3	12.2	11.7	4.069	θέ-α	2
ίλη	3	0.1	0	1.327	ί-λη	2
ίνα	3	12.9	2.4	3.384	ί-να	2
ιόν	3	8.8	0.7	2.859	ι-όν	2
ιός	3	32.1	5.3	3.725	ι-ός	2
ίσα	3	80.5	23.6	4.373	ί-σα	2
και	3	5718.3	34181	7.533	και	1
καν	3	90.3	90.3	4.955	καν	1
κεκ	3	3.4	3.4	3.534	κεκ	1
κιχ	3	0.6	0.6	2.79	κιχ	1
κοκ	3	6.3	6.3	3.8	κοκ	1
κυρ	3	8.5	8.5	3.931	κυρ	1
λαξ	3	0.7	0.7	2.859	λαξ	1
λέι	3	1.7	1.7	3.236	λέ-ι	2
λύω	3	6.7	0	1.327	λύ-ω	2
ματ	3	8.8	8.8	3.945	ματ	1
μεν	3	100.4	100.4	5.001	μεν	1
μην	3	1221.4	636.7	5.804	μην	1
μις	3	2	2	3.305	μις	1
μνα	3	0	0	1.327	μνα	1
μοβ	3	2.1	2.1	3.327	μοβ	1
μου	3	5213.2	1373.9	6.138	μου	1
μπα	3	5.6	5.6	3.749	μπα	1
μυς	3	11.9	3.9	3.592	μυς	1
μυώ	3	5.7	0	1.327	μυ-ώ	2
ναι	3	204.2	204.2	5.31	ναι	1
νοώ	3	13.5	0	1.327	νο-ώ	2
ντα	3	6.4	6.4	3.807	ντα	1
ντε	3	61.1	61.1	4.786	ντε	1
ντο	3	1.7	1.7	3.236	ντο	1
νυν	3	23	23	4.362	νυν	1
όζω	3	0.4	0	1.327	ό-ζω	2
οκά	3	1.6	0.9	2.961	ο-κά	2
όλο	3	1436.8	289.4	5.461	ό-λο	2
οξύ	3	17	10.2	4.01	ο-ξύ	2
όπα	3	0.9	0.9	2.961	ό-πα	2
οπή	3	9.7	3.1	3.495	ο-πή	2
όσο	3	885.1	635	5.802	ό-σο	2
ότι	3	7545.1	7545.1	6.877	ό-τι	2
ουκ	3	9	9	3.955	ουκ	1
ους	3	3.3	1.3	3.12	ους	1
ουφ	3	0.9	0.9	2.961	ουφ	1
όχι	3	1054.7	1054.7	6.023	ό-χι	2
όψη	3	53	22.8	4.358	ό-ψη	2
πας	3	521.1	21.1	4.324	πας	1
πάω	3	740.3	36.4	4.561	πά-ω	2
πια	3	187.9	187.9	5.274	πια	1
πιο	3	945.7	945.4	5.975	πιο	1
πόα	3	0.1	0	1.327	πό-α	2
ποπ	3	10.4	10.4	4.018	ποπ	1
που	3	4525	14525	7.162	που	1
πού	3	172.8	172.8	5.237	πού	1
προ	3	90.2	90.2	4.955	προ	1
πυξ	3	0.7	0.7	2.859	πυξ	1
πύο	3	0.3	0.1	2.106	πύ-ο	2
πυρ	3	34.2	7.3	3.864	πυρ	1
πως	3	778.9	778.9	5.891	πως	1
πώς	3	431.5	431.5	5.635	πώς	1
ρέω	3	6.1	0	1.327	ρέ-ω	2
ροζ	3	11.7	11.7	4.069	ροζ	1
ροή	3	44.4	25.2	4.402	ρο-ή	2
ροΐ	3	0	0	1.327	ρο-ΐ	2
ροκ	3	21.2	21.2	4.327	ροκ	1
σαν	3	554.7	554.7	5.744	σαν	1
σεξ	3	11.8	11.8	4.073	σεξ	1
σερ	3	9.6	9.6	3.983	σερ	1
σετ	3	11.5	11.5	4.061	σετ	1
σεφ	3	7.5	7.5	3.876	σεφ	1
σία	3	2.4	2.4	3.384	σί-α	2
σικ	3	0.8	0.8	2.919	σικ	1
σκι	3	2.8	2.8	3.451	σκι	1
σόι	3	4.3	3.3	3.521	σό-ι	2
σοκ	3	18.5	18.5	4.267	σοκ	1
σολ	3	1.8	1.8	3.262	σολ	1
σος	3	0.4	0.4	2.628	σος	1
συν	3	77.7	77.7	4.89	συν	1
ταυ	3	0.6	0.6	2.79	ταυ	1
τικ	3	0.7	0.7	2.859	τικ	1
τιμ	3	8.3	8.3	3.92	τιμ	1
ύλη	3	71.6	24.7	4.393	ύ-λη	2
υνί	3	0.1	0.1	2.106	υ-νί	2
υπό	3	461.8	338	5.529	υ-πό	2
υφή	3	12.2	9.3	3.969	υ-φή	2
φαΐ	3	3.8	3.6	3.558	φα-ΐ	2
φαξ	3	8.8	8.8	3.945	φαξ	1
φευ	3	1.7	1.7	3.236	φευ	1
φις	3	0.3	0.3	2.504	φις	1
φως	3	125	90.1	4.955	φως	1
χαν	3	7.4	7.4	3.87	χαν	1
χαφ	3	13.4	13.4	4.127	χαφ	1
χολ	3	5.6	5.6	3.749	χολ	1
χοπ	3	2.8	2.8	3.451	χοπ	1
ψες	3	0.1	0.1	2.106	ψες	1
ψιτ	3	0.2	0.2	2.327	ψιτ	1
ωδή	3	2.7	1.4	3.154	ω-δή	2
ωθώ	3	17.5	0	1.327	ω-θώ	2
ώρα	3	548.6	335.9	5.526	ώ-ρα	2
ώση	3	7.3	3.6	3.558	ώ-ση	2
αβάς	4	1.9	1	3.009	α-βάς	2
αγάς	4	1	0.1	2.106	α-γάς	2
άγια	4	1.9	1.9	3.282	ά-γι-α	3
αγνή	4	4	3.2	3.506	α-γνή	2
άγος	4	3.1	1.1	3.052	ά-γος	2
άγρα	4	5.7	3	3.48	ά-γρα	2
αγώι	4	0.3	0.1	2.106	α-γώ-ι	3
αδάμ	4	4.3	4.3	3.635	α-δάμ	2
άδης	4	2.2	0.4	2.628	ά-δης	2
αέρι	4	0	0	1.327	α-έ-ρι	3
αθώα	4	22.4	5.7	3.757	α-θώ-α	3
αίγα	4	0.4	0	1.327	αί-γα	2
αίμα	4	74.9	43.8	4.641	αί-μα	2
αίρω	4	28.1	0.1	2.106	αί-ρω	2
ακμή	4	22.8	7.7	3.887	ακ-μή	2
ακοή	4	2.6	1.5	3.185	α-κο-ή	3
άκρα	4	42.4	15.1	4.179	ά-κρα	2
άκρη	4	42.6	38.1	4.581	ά-κρη	2
άκρο	4	35.4	13	4.114	ά-κρο	2
ακτή	4	31.1	10.7	4.03	α-κτή	2
άκων	4	51.1	0.2	2.327	ά-κων	2
άλας	4	5	0.7	2.859	ά-λας	2
αλέα	4	0.8	0.4	2.628	α-λέ-α	3
αλκή	4	0.9	0.7	2.859	αλ-κή	2
αλλά	4	2866.4	2851.7	6.455	αλ-λά	2
άλμα	4	19	13.4	4.127	άλ-μα	2
άλμη	4	0.1	0.1	2.106	άλ-μη	2
αλόη	4	0.2	0.1	2.106	α-λό-η	3
άλφα	4	9	9	3.955	άλ-φα	2
άλως	4	0.2	0.1	2.106	ά-λως	2
αμάν	4	2.7	2.7	3.435	α-μάν	2
αμήν	4	1	1	3.009	α-μήν	2
αμόκ	4	0.9	0.9	2.961	α-μόκ	2
άναξ	4	0.2	0.1	2.106	ά-ναξ	2
άνευ	4	27.9	27.9	4.446	ά-νευ	2
άνθι	4	0	0	1.327	άν-θι	2
ανθώ	4	7.5	0	1.327	αν-θώ	2
ανία	4	1.4	0.9	2.961	α-νί-α	3
άντε	4	19.2	19.2	4.284	ά-ντε	2
αντί	4	161.8	142.7	5.154	α-ντί	2
αξία	4	270.2	124.9	5.096	α-ξί-α	3
άξια	4	229.5	4.8	3.683	ά-ξι-α	3
άουτ	4	20.6	20.6	4.314	ά-ουτ	2
άπαξ	4	3.6	3.6	3.558	ά-παξ	2
άπας	4	8.4	0.1	2.106	ά-πας	2
άπλα	4	6.4	0.1	2.106	ά-πλα	2
απών	4	15.7	4.4	3.646	α-πών	2
αργώ	4	24.6	0.9	2.961	αρ-γώ	2
άρης	4	100.8	42.6	4.629	ά-ρης	2
άρια	4	4.2	1.3	3.12	ά-ρι-α	3
αρκώ	4	101.8	0	1.327	αρ-κώ	2
άρμα	4	13.6	3.4	3.534	άρ-μα	2
άρμη	4	0.3	0.2	2.327	άρ-μη	2
αρνί	4	5	2	3.305	αρ-νί	2
άρπα	4	1.4	0.9	2.961	άρ-πα	2
άρση	4	39	27.5	4.439	άρ-ση	2
αρύς	4	0.3	0	1.327	α-ρύς	2
αρχή	4	770.8	273.5	5.437	αρ-χή	2
άρχω	4	3.2	0	1.327	άρ-χω	2
ασκί	4	0.3	0.1	2.106	α-σκί	2
ασκώ	4	207.1	1	3.009	α-σκώ	2
άσμα	4	4.8	2.8	3.451	ά-σμα	2
άσος	4	25.4	6.1	3.787	ά-σος	2
αστή	4	1.6	0.2	2.327	α-στή	2
άστυ	4	2.3	1.9	3.282	ά-στυ	2
ατός	4	9.1	0.1	2.106	α-τός	2
ατού	4	8.3	8.3	3.92	α-τού	2
αυγή	4	13.1	9.1	3.96	αυ-γή	2
αυγό	4	6.3	1.7	3.236	αυ-γό	2
αυλή	4	22.9	15.5	4.191	αυ-λή	2
αύρα	4	3.2	2.6	3.417	αύ-ρα	2
αυτί	4	22.7	8.5	3.931	αυ-τί	2
αφού	4	599.1	599.1	5.777	α-φού	2
αχλή	4	0.2	0.2	2.327	α-χλή	2
άχνα	4	1	0.8	2.919	ά-χνα	2
άχνη	4	0.2	0.2	2.327	ά-χνη	2
αχός	4	0.4	0.2	2.327	α-χός	2
άχτι	4	1.1	1.1	3.052	ά-χτι	2
αψιά	4	0	0	1.327	α-ψιά	2
αψύς	4	0.2	0.1	2.106	α-ψύς	2
βαβά	4	0.1	0.1	2.106	βα-βά	2
βάβω	4	0	0	1.327	βά-βω	2
βάζο	4	2.6	1.4	3.154	βά-ζο	2
βάζω	4	332.9	6	3.779	βά-ζω	2
βαμπ	4	0.4	0.4	2.628	βαμπ	1
βάνα	4	2	1.4	3.154	βά-να	2
βάνω	4	0.8	0.1	2.106	βά-νω	2
βάση	4	430.8	361.5	5.558	βά-ση	2
βάτα	4	0.9	0.6	2.79	βά-τα	2
βαφή	4	3.3	1.8	3.262	βα-φή	2
βάφω	4	13	0.1	2.106	βά-φω	2
βέλο	4	0.4	0.3	2.504	βέ-λο	2
βέρα	4	2.6	2	3.305	βέ-ρα	2
βέτο	4	19.7	19.7	4.295	βέ-το	2
βήμα	4	196	130.7	5.116	βή-μα	2
βήτα	4	4.9	4.9	3.691	βή-τα	2
βήχω	4	1.1	0	1.327	βή-χω	2
βίδα	4	1.9	0.5	2.725	βί-δα	2
