Word	Length	Syllabes	SyllLength
ή	1	ή	1
ο	1	ο	1
αμ	2	αμ	1
αν	2	αν	1
απ	2	απ	1
αρ	2	αρ	1
ας	2	ας	1
αχ	2	αχ	1
γα	2	γα	1
γη	2	γη	1
δα	2	δα	1
δε	2	δε	1
δη	2	δη	1
ει	2	ει	1
εκ	2	εκ	1
εν	2	εν	1
εξ	2	εξ	1
επ	2	επ	1
ευ	2	ευ	1
ζω	2	ζω	1
θα	2	θα	1
κε	2	κε	1
λα	2	λα	1
μα	2	μα	1
με	2	με	1
μι	2	μι	1
να	2	να	1
νι	2	νι	1
ξι	2	ξι	1
ον	2	ον	1
ου	2	ου	1
οχ	2	οχ	1
πα	2	πα	1
πι	2	πι	1
ρε	2	ρε	1
ρο	2	ρο	1
σε	2	σε	1
σι	2	σι	1
στ	2	στ	1
τα	2	τα	1
τη	2	τη	1
τι	2	τι	1
το	2	το	1
φα	2	φα	1
φι	2	φι	1
χα	2	χα	1
χι	2	χι	1
χμ	2	χμ	1
ψι	2	ψι	1
ώα	2	ώα	1
ων	2	ων	1
ως	2	ως	1
άγω	3	ά-γω	2
αεί	3	α-εί	2
αλά	3	α-λά	2
αλί	3	α-λί	2
αλτ	3	αλτ	1
άμα	3	ά-μα	2
αμέ	3	α-μέ	2
άμε	3	ά-με	2
ανά	3	α-νά	2
άνω	3	ά-νω	2
άου	3	ά-ου	2
από	3	α-πό	2
άπω	3	ά-πω	2
αρά	3	α-ρά	2
άρα	3	ά-ρα	2
άτι	3	ά-τι	2
αφή	3	α-φή	2
βατ	3	βατ	1
βαχ	3	βαχ	1
βηξ	3	βηξ	1
βια	3	βια	1
βία	3	βί-α	2
βοή	3	βο-ή	2
βοώ	3	βο-ώ	2
βρε	3	βρε	1
γαρ	3	γαρ	1
γεν	3	γεν	1
για	3	για	1
δεν	3	δεν	1
διά	3	δι-ά	2
δις	3	δις	1
δον	3	δον	1
δου	3	δου	1
δρω	3	δρω	1
δύο	3	δύ-ο	2
δύω	3	δύ-ω	2
έαρ	3	έ-αρ	2
εγώ	3	ε-γώ	2
εδώ	3	ε-δώ	2
εις	3	εις	1
έλα	3	έ-λα	2
ενώ	3	ε-νώ	2
έξη	3	έ-ξη	2
έξι	3	έ-ξι	2
έξω	3	έ-ξω	2
επί	3	ε-πί	2
εύα	3	εύ-α	2
εφέ	3	ε-φέ	2
έχω	3	έ-χω	2
έως	3	έ-ως	2
ζην	3	ζην	1
ζωή	3	ζω-ή	2
ζων	3	ζων	1
ζώο	3	ζώ-ο	2
ήβη	3	ή-βη	2
ήδη	3	ή-δη	2
ήρα	3	ή-ρα	2
ήτα	3	ή-τα	2
ηχώ	3	η-χώ	2
θεά	3	θε-ά	2
θέα	3	θέ-α	2
ίλη	3	ί-λη	2
ίνα	3	ί-να	2
ιόν	3	ι-όν	2
ιός	3	ι-ός	2
ίσα	3	ί-σα	2
και	3	και	1
καν	3	καν	1
κεκ	3	κεκ	1
κιχ	3	κιχ	1
κοκ	3	κοκ	1
κυρ	3	κυρ	1
λαξ	3	λαξ	1
λέι	3	λέ-ι	2
λύω	3	λύ-ω	2
ματ	3	ματ	1
μεν	3	μεν	1
μην	3	μην	1
μις	3	μις	1
μνα	3	μνα	1
μοβ	3	μοβ	1
μου	3	μου	1
μπα	3	μπα	1
μυς	3	μυς	1
μυώ	3	μυ-ώ	2
ναι	3	ναι	1
νοώ	3	νο-ώ	2
ντα	3	ντα	1
ντε	3	ντε	1
ντο	3	ντο	1
νυν	3	νυν	1
όζω	3	ό-ζω	2
οκά	3	ο-κά	2
όλο	3	ό-λο	2
οξύ	3	ο-ξύ	2
όπα	3	ό-πα	2
